"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/13/2026 17:44:39:473 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"408","10","4","150","1500","50.0961168781238","57","0"
"417","10","4","225","159","52.94117647058823","0","0"
"412","10","4","200","1500","55.17108804306036","27","0"
"413","10","4","200","1390","31.60322952710496","0","0"
"420","10","4","250","218","58.861976163014226","0","0"
"419","10","4","250","842","37.87004998077663","0","0"
"416","10","4","225","1500","36.562860438292965","26","0"
"415","10","4","225","1500","52.441368704344484","9","0"
"414","10","4","200","1500","39.98462129950019","43","0"
"418","10","4","250","1500","51.095732410611305","19","0"
"421","10","6","150","1500","35.371011149557866","63","0"
"422","10","6","150","1500","48.67358708189158","30","0"
"426","10","6","175","743","48.86582083813918","0","0"
"423","10","6","150","1500","44.63667820069204","15","0"
"430","10","6","225","600","37.48558246828143","0","0"
"424","10","6","175","1500","64.82122260668973","30","0"
"425","10","6","175","1500","71.97231833910034","19","0"
"427","10","6","200","1500","46.251441753171854","46","0"
"431","10","6","225","620","64.59054209919262","0","0"
"435","10","6","250","100","41.061130334486734","0","0"
"434","10","6","250","138","50.711264898116106","0","0"
"433","10","6","250","391","68.01230296039985","0","0"
"429","10","6","200","1208","75.16339869281046","0","0"
"439","10","8","175","166","60.01537870049981","0","0"
"428","10","6","200","1500","34.90965013456363","12","0"
"440","10","8","175","419","33.179546328335256","0","0"
"443","10","8","200","120","47.251057285659364","0","0"
"438","10","8","150","965","74.93271818531333","0","0"
"445","10","8","225","281","83.5832372164552","0","0"
"446","10","8","225","101","40.75355632449058","0","0"
"432","10","6","225","1500","56.93963860053825","24","0"
"437","10","8","150","1500","28.219915417147252","32","0"
"448","10","8","250","146","50.01922337562476","0","0"
"436","10","8","150","1500","36.716647443291045","24","0"
"449","10","8","250","162","48.32756632064591","0","0"
"442","10","8","200","1219","38.83121876201461","0","0"
"450","10","8","250","190","49.750096116878126","0","0"
"447","10","8","225","430","13.494809688581315","0","0"
"441","10","8","175","1500","41.676278354479045","29","0"
"456","10","10","175","85","41.830065359477125","0","0"
"454","10","10","175","359","28.027681660899653","0","0"
"458","10","10","200","125","46.251441753171854","0","0"
"459","10","10","200","191","66.16685890042291","0","0"
"457","10","10","200","391","22.22222222222222","0","0"
"444","10","8","200","1500","35.67858515955402","45","0"
"460","10","10","225","84","35.8323721645521","0","0"
"461","10","10","225","122","44.79046520569012","0","0"
"462","10","10","225","109","41.061130334486734","0","0"
"455","10","10","175","893","62.12995001922337","0","0"
"465","10","10","250","102","40.17685505574779","0","0"
"464","10","10","250","134","38.17762399077278","0","0"
"451","10","10","150","1500","73.43329488658209","27","0"
"453","10","10","150","1301","59.47712418300654","0","0"
"469","10","12","175","93","45.71318723567858","0","0"
"452","10","10","150","1500","35.48635140330642","49","0"
"471","10","12","175","109","49.826989619377166","0","0"
"473","10","12","200","98","41.48404459823145","0","0"
"472","10","12","200","402","14.686658977316418","0","0"
"467","10","12","150","904","25.68242983467897","0","0"
"463","10","10","250","1122","25.336409073433295","0","0"
"476","10","12","225","112","40.52287581699346","0","0"
"477","10","12","225","111","46.943483275663205","0","0"
"474","10","12","200","523","53.24875048058439","0","0"
"478","10","12","250","99","42.32987312572088","0","0"
"468","10","12","150","1168","15.955401768550557","0","0"
"479","10","12","250","98","40.253748558246826","0","0"
"480","10","12","250","102","40.44598231449442","0","0"
"475","10","12","225","446","14.071510957324106","0","0"
"466","10","12","150","1500","50.74971164936563","58","0"
"483","10","14","150","332","17.87773933102653","0","0"
"485","10","14","175","290","15.455594002306805","0","0"
"482","10","14","150","415","31.372549019607842","0","0"
"484","10","14","175","433","17.72395232602845","0","0"
"489","10","14","200","93","45.597846981930026","0","0"
"488","10","14","200","127","48.94271434063822","0","0"
"487","10","14","200","174","60.5920799692426","0","0"
"490","10","14","225","98","43.06036139946175","0","0"
"491","10","14","225","108","39.67704728950404","0","0"
"486","10","14","175","296","18.723567858515956","0","0"
"493","10","14","250","90","34.83275663206459","0","0"
"492","10","14","225","159","49.55786236063053","0","0"
"470","10","12","175","1376","15.570934256055363","0","0"
"494","10","14","250","101","39.4079200307574","0","0"
"495","10","14","250","123","47.98154555940023","0","0"
"499","10","16","175","92","43.944636678200695","0","0"
"496","10","16","150","170","84.73663975394079","0","0"
"497","10","16","150","135","52.825836216839676","0","0"
"500","10","16","175","110","45.98231449442522","0","0"
"502","10","16","200","81","39.90772779700115","0","0"
"501","10","16","175","136","49.9038831218762","0","0"
"503","10","16","200","123","41.983852364475204","0","0"
"507","10","16","225","61","34.33294886582084","0","0"
"508","10","16","250","71","35.2556708958093","0","0"
"509","10","16","250","74","38.25451749327182","0","0"
"504","10","16","200","353","15.609381007304883","0","0"
"511","10","18","150","142","58.477508650519034","0","0"
"510","10","16","250","237","54.82506728181469","0","0"
"506","10","16","225","383","15.532487504805843","0","0"
"505","10","16","225","483","24.798154555940023","0","0"
"515","10","18","175","88","40.21530180699731","0","0"
"514","10","18","175","154","59.438677431757014","0","0"
"498","10","16","150","749","10.265282583621683","0","0"
"516","10","18","175","117","49.596309111880046","0","0"
"517","10","18","200","94","42.75278738946559","0","0"
"519","10","18","200","67","30.83429450211457","0","0"
"518","10","18","200","80","38.677431757016535","0","0"
"481","10","14","150","1500","39.06189926951173","16","0"
"523","10","18","250","58","33.44867358708189","0","0"
"520","10","18","225","142","50.249903883121874","0","0"
"521","10","18","225","96","37.06266820453671","0","0"
"522","10","18","225","79","34.02537485582468","0","0"
"525","10","18","250","97","38.216070742022296","0","0"
"528","10","20","150","89","46.71280276816609","0","0"
